Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,F1,FALSE,B3,Acerv,UNKNOWN,SYBR,None,16.775,16.765,0.014,,,,,,,,TRUE,0.108,TRUE,3,12,Amp,,0.905,N,N,N,75.172,,,
62,F2,FALSE,B3,A,UNKNOWN,SYBR,None,17.595,17.724,0.183,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.910,N,N,N,87.546,,,
63,F3,FALSE,B3,Acerv,UNKNOWN,SYBR,None,16.755,16.765,0.014,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.891,N,N,N,75.306,,,
64,F4,FALSE,B3,A,UNKNOWN,SYBR,None,17.854,17.724,0.183,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.931,N,N,N,87.669,,,
65,F5,FALSE,B4,Acerv,UNKNOWN,SYBR,None,17.299,17.565,0.376,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.864,N,N,N,75.156,,,
66,F6,FALSE,B4,A,UNKNOWN,SYBR,None,17.703,17.632,0.101,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.927,N,N,N,87.516,,,
67,F7,FALSE,B4,Acerv,UNKNOWN,SYBR,None,17.831,17.565,0.376,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.913,N,N,N,75.305,,,
68,F8,FALSE,B4,A,UNKNOWN,SYBR,None,17.560,17.632,0.101,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.923,N,N,N,87.668,,,
69,F9,FALSE,B5,Acerv,UNKNOWN,SYBR,None,17.293,17.182,0.156,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.968,N,N,N,75.326,,,
70,F10,FALSE,B5,A,UNKNOWN,SYBR,None,17.297,17.280,0.024,,,,,,,,TRUE,0.231,TRUE,3,11,Amp,,0.988,N,N,N,87.706,,,
71,F11,FALSE,B5,Acerv,UNKNOWN,SYBR,None,17.072,17.182,0.156,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.961,N,N,N,75.468,,,
72,F12,FALSE,B5,A,UNKNOWN,SYBR,None,17.263,17.280,0.024,,,,,,,,TRUE,0.231,TRUE,3,11,Amp,,0.979,N,N,N,87.695,,,
73,G1,FALSE,B6,Acerv,UNKNOWN,SYBR,None,16.683,16.755,0.102,,,,,,,,TRUE,0.108,TRUE,3,12,Amp,,0.983,N,N,N,75.172,,,
74,G2,FALSE,B6,A,UNKNOWN,SYBR,None,17.187,17.449,0.370,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.979,N,N,N,87.546,,,
75,G3,FALSE,B6,Acerv,UNKNOWN,SYBR,None,16.827,16.755,0.102,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.923,N,N,N,75.306,,,
76,G4,FALSE,B6,A,UNKNOWN,SYBR,None,17.710,17.449,0.370,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.888,N,N,N,87.669,,,
77,G5,FALSE,B7,Acerv,UNKNOWN,SYBR,None,17.091,17.067,0.034,,,,,,,,TRUE,0.108,TRUE,3,12,Amp,,0.843,N,N,N,75.156,,,
78,G6,FALSE,B7,A,UNKNOWN,SYBR,None,17.601,17.624,0.032,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.836,N,N,N,87.516,,,
79,G7,FALSE,B7,Acerv,UNKNOWN,SYBR,None,17.044,17.067,0.034,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.875,N,N,N,75.305,,,
80,G8,FALSE,B7,A,UNKNOWN,SYBR,None,17.646,17.624,0.032,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.839,N,N,N,87.668,,,
81,G9,FALSE,B8,Acerv,UNKNOWN,SYBR,None,17.341,17.417,0.108,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.867,N,N,N,75.326,,,
82,G10,FALSE,B8,A,UNKNOWN,SYBR,None,17.642,17.771,0.183,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.972,N,N,N,87.706,,,
83,G11,FALSE,B8,Acerv,UNKNOWN,SYBR,None,17.494,17.417,0.108,,,,,,,,TRUE,0.108,TRUE,3,14,Amp,,0.958,N,N,N,75.468,,,
84,G12,FALSE,B8,A,UNKNOWN,SYBR,None,17.901,17.771,0.183,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.973,N,N,N,87.695,,,
85,H1,FALSE,+,Acerv,UNKNOWN,SYBR,None,17.571,18.225,0.925,,,,,,,,TRUE,0.108,TRUE,3,14,Amp,,0.910,N,N,Y,75.025,,,
86,H2,FALSE,+,A,UNKNOWN,SYBR,None,13.117,13.270,0.217,,,,,,,,TRUE,0.231,TRUE,3,9,Amp,,0.976,N,N,N,87.546,,,
87,H3,FALSE,B9,Acerv,UNKNOWN,SYBR,None,17.088,17.104,0.023,,,,,,,,TRUE,0.108,TRUE,3,12,Amp,,0.970,N,N,N,75.159,,,
88,H4,FALSE,B9,A,UNKNOWN,SYBR,None,18.459,18.525,0.092,,,,,,,,TRUE,0.231,TRUE,3,14,Amp,,0.977,N,N,N,87.669,,,
89,H5,FALSE,B9,Acerv,UNKNOWN,SYBR,None,17.120,17.104,0.023,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.957,N,N,N,75.156,,,
90,H6,FALSE,B9,A,UNKNOWN,SYBR,None,18.590,18.525,0.092,,,,,,,,TRUE,0.231,TRUE,3,14,Amp,,0.958,N,N,N,87.516,,,
91,H7,FALSE,B10,Acerv,UNKNOWN,SYBR,None,17.314,,,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.755,Y,N,N,75.158,,,
92,H8,FALSE,B10,A,UNKNOWN,SYBR,None,17.747,,,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.795,Y,N,N,87.521,,,
93,H9,FALSE,B10,Acerv,UNKNOWN,SYBR,None,16.865,,,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.794,Y,N,N,75.179,,,
94,H10,FALSE,B10,A,UNKNOWN,SYBR,None,17.834,,,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.844,N,N,N,87.706,,,
95,H11,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.108,TRUE,3,39,No Amp,,0.000,N,Y,N,82.392,87.106,90.494,76.794
96,H12,FALSE,NTC,A,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.231,TRUE,3,39,No Amp,,0.000,N,N,N,60.000,,,
