Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,D2,FALSE,A020,A,UNKNOWN,SYBR,None,22.295,22.079,0.306,,,,,,,,TRUE,0.189,TRUE,3,18,Amp,,0.926,N,N,N,N,85.344,,,
39,D3,FALSE,A020,Acerv,UNKNOWN,SYBR,None,24.335,24.089,0.349,,,,,,,,TRUE,0.241,TRUE,3,19,Amp,,0.984,N,N,N,N,74.137,,,
40,D4,FALSE,A020,A,UNKNOWN,SYBR,None,21.862,22.079,0.306,,,,,,,,TRUE,0.189,TRUE,3,16,Amp,,0.943,N,N,N,N,85.476,,,
41,D5,FALSE,A042,Acerv,UNKNOWN,SYBR,None,25.283,25.421,0.196,,,,,,,,TRUE,0.241,TRUE,3,20,Amp,,0.951,N,N,N,N,74.129,,,
42,D6,FALSE,A042,A,UNKNOWN,SYBR,None,21.993,21.967,0.037,,,,,,,,TRUE,0.189,TRUE,3,16,Amp,,0.919,N,N,N,N,85.46,,,
43,D7,FALSE,A042,Acerv,UNKNOWN,SYBR,None,25.56,25.421,0.196,,,,,,,,TRUE,0.241,TRUE,3,20,Amp,,0.996,N,N,N,N,74.136,,,
44,D8,FALSE,A042,A,UNKNOWN,SYBR,None,21.941,21.967,0.037,,,,,,,,TRUE,0.189,TRUE,3,16,Amp,,0.926,N,N,N,N,85.621,,,
45,D9,FALSE,A065,Acerv,UNKNOWN,SYBR,None,24.371,24.529,0.223,,,,,,,,TRUE,0.241,TRUE,3,19,Amp,,0.993,N,N,N,N,74.301,,,
46,D10,FALSE,A065,A,UNKNOWN,SYBR,None,22.663,22.623,0.057,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.96,N,N,N,N,85.652,,,
47,D11,FALSE,A065,Acerv,UNKNOWN,SYBR,None,24.687,24.529,0.223,,,,,,,,TRUE,0.241,TRUE,3,19,Amp,,0.937,N,N,N,N,74.001,,,
48,D12,FALSE,A065,A,UNKNOWN,SYBR,None,22.583,22.623,0.057,,,,,,,,TRUE,0.189,TRUE,3,18,Amp,,0.947,N,N,N,N,85.496,,,
49,E1,FALSE,A178,Acerv,UNKNOWN,SYBR,None,24.242,24.155,0.123,,,,,,,,TRUE,0.241,TRUE,3,19,Amp,,0.974,N,N,N,N,73.998,,,
50,E2,FALSE,A178,A,UNKNOWN,SYBR,None,21.954,22.023,0.096,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.893,N,N,N,N,85.491,,,
51,E3,FALSE,A178,Acerv,UNKNOWN,SYBR,None,24.068,24.155,0.123,,,,,,,,TRUE,0.241,TRUE,3,18,Amp,,0.938,N,N,N,N,74.285,,,
52,E4,FALSE,A178,A,UNKNOWN,SYBR,None,22.091,22.023,0.096,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.927,N,N,N,N,85.476,,,
53,E5,FALSE,207,Acerv,UNKNOWN,SYBR,None,24.657,24.572,0.12,,,,,,,,TRUE,0.241,TRUE,3,19,Amp,,0.964,N,N,N,N,74.129,,,
54,E6,FALSE,207,A,UNKNOWN,SYBR,None,21.988,21.841,0.209,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.914,N,N,N,N,85.46,,,
55,E7,FALSE,207,Acerv,UNKNOWN,SYBR,None,24.487,24.572,0.12,,,,,,,,TRUE,0.241,TRUE,3,19,Amp,,0.994,N,N,N,N,74.283,,,
56,E8,FALSE,207,A,UNKNOWN,SYBR,None,21.693,21.841,0.209,,,,,,,,TRUE,0.189,TRUE,3,16,Amp,,0.898,N,N,N,N,85.474,,,
57,E9,FALSE,244,Acerv,UNKNOWN,SYBR,None,22.779,22.989,0.297,,,,,,,,TRUE,0.241,TRUE,3,18,Amp,,0.942,N,N,N,N,74.301,,,
58,E10,FALSE,244,A,UNKNOWN,SYBR,None,22.316,22.828,0.725,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.934,N,N,N,Y,85.652,,,
59,E11,FALSE,244,Acerv,UNKNOWN,SYBR,None,23.199,22.989,0.297,,,,,,,,TRUE,0.241,TRUE,3,18,Amp,,0.98,N,N,N,N,74.001,,,
60,E12,FALSE,244,A,UNKNOWN,SYBR,None,23.341,22.828,0.725,,,,,,,,TRUE,0.189,TRUE,3,20,Amp,,0.677,Y,N,Y,Y,85.496,76.654,,
61,F1,FALSE,263,Acerv,UNKNOWN,SYBR,None,23.42,23.493,0.103,,,,,,,,TRUE,0.241,TRUE,3,19,Amp,,0.98,N,N,N,N,73.998,,,
62,F2,FALSE,263,A,UNKNOWN,SYBR,None,22.108,22.14,0.045,,,,,,,,TRUE,0.189,TRUE,3,18,Amp,,0.914,N,N,N,N,85.491,,,
63,F3,FALSE,263,Acerv,UNKNOWN,SYBR,None,23.565,23.493,0.103,,,,,,,,TRUE,0.241,TRUE,3,18,Amp,,0.977,N,N,N,N,74.137,,,
64,F4,FALSE,263,A,UNKNOWN,SYBR,None,22.172,22.14,0.045,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.921,N,N,N,N,85.623,,,
65,F5,FALSE,410,Acerv,UNKNOWN,SYBR,None,25.839,26.435,0.843,,,,,,,,TRUE,0.241,TRUE,3,21,Amp,,0.973,N,N,N,Y,74.129,,,
66,F6,FALSE,410,A,UNKNOWN,SYBR,None,20.982,20.92,0.087,,,,,,,,TRUE,0.189,TRUE,3,15,Amp,,0.886,N,N,N,N,85.313,,,
67,F7,FALSE,410,Acerv,UNKNOWN,SYBR,None,27.031,26.435,0.843,,,,,,,,TRUE,0.241,TRUE,3,22,Amp,,0.963,N,N,N,Y,74.136,,,
68,F8,FALSE,410,A,UNKNOWN,SYBR,None,20.859,20.92,0.087,,,,,,,,TRUE,0.189,TRUE,3,15,Amp,,0.881,N,N,N,N,85.621,,,
69,F9,FALSE,A014,Acerv,UNKNOWN,SYBR,None,23.145,23.303,0.223,,,,,,,,TRUE,0.241,TRUE,3,18,Amp,,0.979,N,N,N,N,74.301,,,
70,F10,FALSE,A014,A,UNKNOWN,SYBR,None,23.628,23.726,0.137,,,,,,,,TRUE,0.189,TRUE,3,19,Amp,,0.981,N,N,N,N,85.652,,,
71,F11,FALSE,A014,Acerv,UNKNOWN,SYBR,None,23.461,23.303,0.223,,,,,,,,TRUE,0.241,TRUE,3,18,Amp,,0.983,N,N,N,N,74.148,,,
72,F12,FALSE,A014,A,UNKNOWN,SYBR,None,23.823,23.726,0.137,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.924,N,N,N,N,85.643,,,
73,G1,FALSE,A036,Acerv,UNKNOWN,SYBR,None,23.029,23.085,0.079,,,,,,,,TRUE,0.241,TRUE,3,17,Amp,,0.981,N,N,N,N,73.998,,,
74,G2,FALSE,A036,A,UNKNOWN,SYBR,None,22.572,22.644,0.101,,,,,,,,TRUE,0.189,TRUE,3,16,Amp,,0.937,N,N,N,N,85.491,,,
75,G3,FALSE,A036,Acerv,UNKNOWN,SYBR,None,23.141,23.085,0.079,,,,,,,,TRUE,0.241,TRUE,3,18,Amp,,0.977,N,N,N,N,74.137,,,
76,G4,FALSE,A036,A,UNKNOWN,SYBR,None,22.716,22.644,0.101,,,,,,,,TRUE,0.189,TRUE,3,18,Amp,,0.913,N,N,N,N,85.623,,,
77,G5,FALSE,A051,Acerv,UNKNOWN,SYBR,None,23.522,23.477,0.064,,,,,,,,TRUE,0.241,TRUE,3,19,Amp,,0.98,N,N,N,N,74.129,,,
78,G6,FALSE,A051,A,UNKNOWN,SYBR,None,22.83,22.721,0.155,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.898,N,N,N,N,85.46,,,
79,G7,FALSE,A051,Acerv,UNKNOWN,SYBR,None,23.432,23.477,0.064,,,,,,,,TRUE,0.241,TRUE,3,18,Amp,,0.972,N,N,N,N,74.136,,,
80,G8,FALSE,A051,A,UNKNOWN,SYBR,None,22.611,22.721,0.155,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.923,N,N,N,N,85.621,,,
